msas,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24
"Abilene, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,11,14,14,18,23,27,27,32,33,33,54,58,62,71,77,77,83,93,146,146,148,168,168,196,199,217,230,269,292,330,358,358,391,412,429,458,464,471,477,482,482,487,491,498,509,511,513,513,513,523,525,542,464,465,465,465,468,469,658,691,738,738,738,950,982,985,987,987,987,988,988,989,988,990,990,993,993,996,983,982,995,1035,1039,1055,1024,1032,1041,1053,1056,1063,1083,1121,1147,1167,1168,1209,1217,1266,1300,1327,1348,1378,1379,1433,1475,1523,1546,1567,1643,1646,1658,1671,1736,1744,1759,1749,1739,1760,1772,1789,2328,2380,2404,2403,2403,2440,2448,2476,2493,2507,2474,2474,2491,2519,2526,2549,2581,2581,2581,2599,2626,2662,2698,2725,2727,2727,3026,3051,3066,3089,3157,3155,3155,3190,3186,3206,3238,3258,3245,3245,3245,3294,3302,3344,3352,3346,3346,3371,3407,3433,3474,3515,3515,3515,3556,3581,3607,3652,3681,3674,3674,3733,3741,3740,3815,3848,3850,3850,3919,3962,3986,4042,4115,4114,4114,4186,4281,4366,4433,4498,4510,4510,4589,4661,4668,4806,4844,4846,4846,5095,5166,5238,5343,5463,5470,5470,5680,5799,5925,6046,6176,6418,6418,6418,6796,7441,7441,7865,7868,7868,8272,8359,8455,8615,8737,8741,8741,9169,9365,9568,9570,9570,9570,9581,9581,10120,10285,10448,10635,10645,10645,10920,11022,11166,11284,11952,11963,11968,12291,12317,12590,12727,12934,12952,12964,13256,13428,13591,13619,13619,13619,13678,13910,13973,14052,14351,14343,14373,14373,14652,14779,14889,14892,15091,15311,15389,15781,15926,16137,16322,16485,16523,16572,16667,16945,17038,17219,17333,17380,17434,17550
"Akron, OH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,6,10,15,24,30,40,47,58,78,98,126,150,169,188,214,230,258,268,283,300,319,337,359,377,396,406,419,452,472,489,508,526,550,571,612,653,673,689,705,721,768,814,844,876,922,948,967,1005,1049,1096,1139,1154,1168,1195,1205,1226,1260,1278,1285,1296,1324,1339,1375,1444,1491,1513,1530,1550,1593,1628,1653,1702,1713,1745,1780,1804,1819,1838,1864,1878,1887,1912,1936,1967,1971,1990,2007,2019,2028,2060,2071,2086,2101,2110,2125,2149,2167,2188,2221,2258,2284,2303,2329,2365,2387,2387,2507,2542,2571,2585,2624,2702,2746,2786,2819,2853,2891,2927,2977,3024,3080,3120,3158,3212,3244,3298,3379,3445,3514,3562,3614,3687,3753,3824,3892,3920,3959,4011,4062,4133,4176,4232,4277,4313,4338,4385,4443,4492,4531,4565,4577,4609,4639,4672,4741,4787,4939,4965,5016,5053,5091,5119,5156,5220,5268,5329,5370,5424,5470,5527,5565,5602,5634,5673,5723,5748,5791,5824,5855,5902,5927,5981,6065,6112,6137,6170,6235,6266,6312,6353,6397,6443,6487,6534,6570,6615,6669,6747,6784,6832,6893,6958,7023,7082,7163,7209,7281,7352,7456,7526,7636,7739,7857,7936,8022,8116,8209,8309,8434,8533,8636,8702,8856,8975,9144,9280,9417,9525,9643,9848,10033,10237,10466,10686,10931,11085,11426,11680,12147,12577,12844,13224,13578,13984,14231,14624,14917,15271,15662,16306,16836,17522,17522,18522,18827,19221,19480,20101,20476,20902,21522,22100,22457,23021,24413,25228,25941,26457,27189,27714,28128,28722,28936,29532,30111,30618,31067,31426,31955,32361,32764,32764,33326,33697,33956,34428,34802,35337,35337,36025,36323,36650,37076,37442,38056,38585,38988,39340,39865,40326,40742,41116,41542,41898,42266,42526,42855,43245,43568,43799,44132,44445,44704
"Albany, GA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,8,8,9,26,62,65,72,93,132,156,205,253,281,310,354,624,658,700,813,912,921,975,1329,1371,1427,1483,1524,1618,1714,1788,1832,1876,1912,1946,1969,1990,2029,2074,2080,2065,2074,2078,2097,2119,2140,2161,2196,2208,2213,2228,2247,2261,2279,2300,2306,2314,2329,2372,2377,2376,2400,2400,2398,2401,2411,2426,2467,2478,2482,2490,2505,2562,2571,2546,2546,2554,2555,2576,2581,2592,2600,2605,2618,2621,2630,2646,2653,2670,2673,2679,2683,2691,2698,2706,2697,2716,2720,2729,2741,2760,2765,2773,2779,2792,2796,2802,2831,2848,2862,2891,2923,2952,2971,3015,3030,3040,3145,3163,3187,3203,3220,3243,3283,3315,3368,3387,3400,3439,3473,3535,3567,3602,3612,3635,3661,3706,3753,3779,3807,3833,3860,3875,3910,3924,3926,3964,3982,4027,4056,4102,4113,4155,4183,4211,4228,4236,4249,4277,4290,4312,4331,4357,4369,4387,4403,4432,4442,4452,4465,4483,4502,4492,4474,4495,4511,4519,4538,4543,4552,4551,4571,4577,4585,4592,4612,4626,4633,4658,4665,4673,4674,4668,4674,4690,4700,4704,4708,4715,4723,4731,4736,4754,4758,5085,5093,5108,5116,5134,5149,5153,5174,5182,5196,5209,5220,5228,5239,5264,5270,5285,5294,5306,5313,5315,5335,5332,5343,5349,5356,5365,5374,5410,5411,5421,5430,5449,5463,5470,5477,5490,5500,5511,5531,5551,5557,5558,5568,5605,5627,5653,5674,5678,5687,5714,5737,5778,5795,5807,5816,5823,5926,6017,6079,6136,6181,6196,6286,6326,6411,6519,6604,6688,6724,6755,6829,6915,7003,7083,7116,7168,7200,7261,7345,7455,7490,7507,7542,7592,7700,7850,8011,8162,8208,8246,8383,8554,8721,8867,9061,9239,9316,9395,9528,9680,9830,9966,10047,10092,10111,10196,10317,10419,10546,10666,10722,10765
"Albany-Lebanon, OR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,9,10,10,15,15,17,19,19,19,20,20,25,26,28,32,36,36,37,37,37,37,41,43,44,45,46,49,49,51,52,52,52,53,54,57,59,59,61,62,63,67,67,71,74,79,81,82,86,87,87,87,97,98,99,99,100,102,102,103,104,105,107,109,110,109,109,109,110,110,112,112,116,115,115,115,115,115,115,115,117,118,119,121,124,124,125,125,125,125,125,125,125,126,126,126,125,126,127,127,129,129,129,130,132,136,140,140,140,144,151,154,156,157,157,157,157,165,168,172,174,181,182,184,186,190,193,196,200,199,198,204,207,215,218,223,224,229,229,233,238,244,248,254,255,263,265,271,277,281,284,296,303,306,315,328,333,338,342,344,350,353,356,363,362,365,366,371,377,380,385,389,389,391,393,398,399,401,405,405,416,421,424,427,431,431,437,438,449,454,458,466,468,478,480,495,508,519,522,522,525,532,548,552,562,568,575,580,611,630,648,660,671,678,699,704,716,726,734,741,745,758,764,769,788,798,803,810,816,827,845,863,881,890,902,923,934,960,969,980,985,1003,1022,1031,1039,1054,1088,1095,1106,1122,1153,1162,1188,1233,1260,1275,1296,1310,1357,1385,1392,1424,1440,1469,1600,1641,1704,1764,1770,1812,1862,1895,1949,2007,2050,2067,2099,2128,2180,2237,2275,2303,2324,2353,2385,2433,2463,2502,2524,2542,2542,2575,2597,2650,2686,2721,2731,2740,2781,2800,2833,2877,2921,2946,2959,2984,3034,3048,3065,3102,3108,3116,3123,3149,3170,3179,3194,3212,3219
"Albany-Schenectady-Troy, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,6,9,16,21,38,68,83,115,176,230,254,283,304,340,373,406,427,448,480,523,561,579,635,666,699,744,761,809,902,935,990,1029,1134,1156,1214,1275,1335,1394,1407,1437,1487,1523,1599,1904,2004,2053,2109,2193,2349,2417,2474,2515,2571,2583,2635,2685,2755,2839,2860,2891,2929,2958,2991,3037,3093,3113,3165,3214,3254,3283,3358,3382,3408,3430,3439,3449,3476,3514,3542,3570,3600,3624,3656,3670,3691,3717,3730,3751,3768,3774,3788,3806,3818,3827,3839,3851,3859,3868,3897,3910,3922,3941,3960,3966,3992,4011,4030,4046,4058,4062,4080,4110,4132,4159,4176,4197,4215,4241,4263,4279,4314,4363,4382,4433,4488,4511,4547,4572,4583,4591,4645,4687,4745,4789,4840,4875,4886,4915,4953,5006,5033,5075,5092,5109,5139,5168,5189,5208,5224,5244,5255,5295,5320,5345,5367,5385,5429,5437,5461,5481,5507,5537,5560,5579,5586,5629,5644,5688,5706,5740,5768,5784,5814,5835,5873,5910,5929,5962,5973,6000,6020,6053,6113,6155,6189,6203,6226,6250,6292,6316,6352,6376,6395,6410,6430,6451,6480,6509,6537,6557,6582,6600,6631,6672,6713,6744,6762,6790,6820,6857,6906,6935,6970,7000,7042,7078,7132,7178,7212,7248,7281,7306,7353,7413,7479,7563,7620,7655,7715,7752,7826,7903,7959,8034,8087,8145,8212,8305,8427,8550,8626,8718,8877,8988,9144,9314,9485,9544,9634,9833,9998,10182,10356,10610,10769,10957,11158,11362,11606,11915,12067,12316,12533,12896,13215,13553,13994,14469,14822,15081,15528,15957,16458,16932,17386,17817,18281,18805,19302,19871,20389,20881,21344,21786,22367,22875,23604,24229,24849,25313,25905,26530,27153,27909,28776,29652,30352,30878,31585,32386,33317,34259,35019,35858,36606,37466,37995,38790,39661,40426,41020,41556,42041,42545,43222,43960,44569,45092,45422
"Albuquerque, NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,12,16,16,19,24,29,39,41,45,50,56,65,98,109,121,148,166,188,211,276,305,362,389,449,483,562,607,645,703,729,750,772,820,853,876,898,929,954,989,1027,1062,1089,1118,1128,1178,1209,1260,1288,1358,1402,1431,1459,1485,1522,1553,1575,1604,1628,1661,1679,1707,1745,1765,1788,1800,1812,1864,1891,1933,1951,1975,1986,2030,2058,2114,2129,2154,2169,2179,2199,2229,2253,2272,2295,2324,2335,2351,2365,2398,2419,2439,2466,2487,2527,2556,2572,2593,2621,2637,2667,2693,2743,2812,2868,2912,2963,3025,3072,3114,3230,3312,3406,3475,3548,3646,3769,3882,3970,4061,4199,4272,4350,4534,4663,4815,4946,5062,5170,5242,5358,5507,5624,5733,5846,5926,6032,6145,6224,6286,6366,6452,6476,6560,6617,6674,6718,6750,6812,6855,6900,6943,6990,7035,7064,7087,7122,7143,7188,7256,7294,7320,7420,7445,7464,7532,7594,7620,7658,7687,7704,7742,7767,7811,7832,7860,7872,7882,7904,7915,7947,7968,7987,8016,8040,8062,8079,8127,8165,8201,8211,8237,8263,8300,8371,8444,8490,8530,8588,8647,8721,8787,8906,8995,9045,9112,9272,9414,9535,9707,9910,10020,10170,10321,10574,10927,11169,11399,11593,11746,11931,12256,12525,12786,13114,13351,13553,13738,14043,14394,14810,15040,15376,15681,16003,16324,16595,17079,17512,17864,18447,18895,19401,20170,20626,21084,21418,21896,22736,24047,25567,26934,27828,28817,29812,30628,31395,32257,33307,34289,34795,35606,36777,37393,38213,39194,39882,40381,41237,41766,42539,43364,44160,44945,45523,46149,46730,47500,48315,48907,49481,49861,50228,50655,51120,51768,52358,52544,52852,53139,53585,54036,54672,55131,55504,55947,56303,56883,57479,58140,58721,59231,59601,59951,60297,60763,61231,61615,61996,62236,62461,62806,63100,63404,63690,63938,64134,64314
"Alexandria, LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,9,11,15,26,27,38,43,46,60,72,82,86,106,108,120,139,145,158,167,170,176,180,187,191,204,208,213,222,222,225,229,231,239,250,258,261,267,271,278,284,288,296,317,325,333,333,355,369,380,388,394,412,435,444,457,495,521,526,538,617,626,627,632,681,690,707,731,731,811,818,829,840,859,883,924,962,1001,1021,1040,1058,1125,1152,1190,1204,1254,1270,1290,1290,1366,1388,1396,1399,1436,1489,1504,1535,1535,1580,1582,1620,1664,1687,1746,1746,1772,1783,1862,1927,1985,2031,2102,2129,2152,2195,2246,2304,2351,2351,2432,2544,2608,2676,2726,2794,2794,2919,2987,3041,3077,3167,3215,3215,3317,3350,3410,3443,3486,3521,3521,3596,3610,3634,3710,3745,3797,3797,3829,3831,3860,3885,3966,4016,4016,4059,4085,4067,4081,4106,4148,4148,4257,4263,4274,4287,4291,4311,4311,4341,4362,4365,4403,4420,4454,4454,4481,4488,4491,4508,4528,4546,4546,4571,4580,4609,4626,4641,4672,4672,4709,4722,4736,4757,4774,4797,4797,4834,4841,4850,4876,4885,4900,4900,4936,4945,4970,4972,4988,5026,5026,5073,5082,5084,5115,5152,5178,5178,5213,5221,5255,5256,5269,5292,5292,5345,5355,5378,5398,5398,5426,5426,5469,5470,5492,5492,5567,6088,6088,6196,6210,6336,6428,6485,6612,6612,6696,6743,6891,6964,6964,7065,7065,7104,7099,7301,7357,7444,7506,7506,7594,7621,7707,7953,7995,8166,8166,8284,8301,8397,8524,8585,8645,8645,8757,8770,8948,9009,9056,9056,9056,9077,9089,9330,9641,9759,9759,9759,9907,9921,10043,10513,10637,10768,10768,10935,10954,11210,11275,11380,11457,11457,11583,11595,11732,11781,11912,11970,11970,12070,12110
"Allentown-Bethlehem-Easton, PA-NJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,10,16,35,49,63,76,101,152,212,257,342,496,610,805,999,1233,1620,1758,1996,2242,2541,2817,2986,3119,3263,3395,3524,3753,3909,4066,4216,4376,4471,4631,4808,4948,5083,5243,5355,5444,5672,5777,5924,6054,6201,6278,6365,6445,6555,6650,6756,6833,6936,6969,7044,7107,7218,7274,7386,7465,7518,7576,7648,7732,7797,7840,7916,7950,7976,8034,8119,8170,8206,8243,8254,8302,8343,8377,8399,8428,8447,8480,8511,8540,8562,8600,8630,8654,8664,8687,8701,8734,8781,8854,8877,8888,8925,8962,9022,9055,9093,9116,9146,9170,9215,9258,9291,9312,9333,9345,9376,9418,9451,9490,9544,9561,9572,9590,9637,9690,9737,9781,9803,9834,9875,9913,9941,9985,10061,10112,10142,10202,10278,10307,10336,10373,10413,10420,10458,10492,10523,10553,10579,10627,10637,10669,10716,10763,10789,10820,10847,10865,10889,10909,10940,10962,10974,10995,11008,11016,11028,11051,11080,11120,11137,11151,11165,11188,11215,11229,11270,11303,11333,11339,11370,11381,11422,11457,11457,11526,11563,11603,11657,11697,11718,11762,11783,11809,11855,11902,11935,11987,12027,12062,12107,12138,12169,12224,12227,12315,12339,12401,12497,12565,12619,12755,12831,12853,12902,12955,13016,13098,13187,13238,13285,13330,13389,13513,13605,13729,13819,13949,14046,14170,14287,14403,14623,14743,14886,15038,15168,15387,15637,15935,16116,16353,16610,16951,17353,17724,18017,18408,18617,18855,19174,19638,20127,20616,21084,21418,21804,22175,22720,23327,23929,24241,24477,24683,25316,25789,26825,27609,28179,28745,29376,29932,30810,31462,32059,32778,33403,33808,34558,35388,35859,36400,37047,37868,38370,38986,39865,40507,41044,41408,41749,42280,43017,43711,44439,45340,45619,46249,47031,47718,48646,49521,50560,51185,51634,52109,52882,53534,54143,54782,55286,55582,56123,56614,57063,57622,58257,58593,58825
"Altoona, PA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,6,6,6,6,6,6,6,6,6,6,9,10,10,11,11,12,13,14,14,14,14,14,14,15,19,21,21,21,21,23,23,23,23,24,25,25,25,28,28,28,28,29,30,31,32,32,34,38,38,38,39,44,46,46,46,48,48,48,49,49,50,50,50,51,52,52,53,53,53,53,53,53,53,54,55,55,55,55,55,55,56,58,58,58,61,69,69,69,71,71,72,71,72,74,79,81,84,87,89,90,93,99,102,104,105,107,113,118,126,129,135,142,149,159,157,165,171,176,176,191,199,201,204,214,224,233,238,241,255,265,274,284,293,298,302,304,317,338,351,354,355,366,376,390,393,403,407,414,422,427,434,443,456,461,465,468,472,490,493,495,496,498,504,506,511,517,517,532,536,537,540,548,559,584,589,599,609,631,648,667,679,689,705,716,728,741,741,779,795,810,827,837,844,858,887,905,916,926,950,980,1003,1026,1034,1058,1077,1100,1116,1145,1163,1186,1212,1237,1268,1306,1376,1456,1529,1574,1654,1733,1771,1816,1906,1953,2002,2076,2225,2290,2424,2515,2598,2676,2748,2872,3105,3200,3353,3440,3521,3623,3738,3911,4050,4203,4322,4412,4509,4607,4725,4946,5055,5123,5287,5423,5598,5808,6031,6110,6230,6448,6551,6644,6756,6900,6988,7086,7172,7277,7426,7473,7591,7625,7665,7766,7827,7886,7956,8095,8193,8247,8317,8419,8517,8621,8686,8797,8862,8925,9026,9093,9182,9234,9322,9374,9414,9470,9518,9578,9636,9673,9718
"Amarillo, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,6,6,9,13,13,35,35,44,50,76,79,80,90,113,129,129,137,137,156,156,176,198,212,238,259,280,334,363,434,496,511,593,593,719,813,947,1043,1105,1180,1211,1312,1378,1464,1464,1490,1566,1748,1873,1947,2682,2740,2740,2766,2819,2831,2842,2885,2897,2897,2897,2914,2932,2945,3000,3007,3007,3054,3156,3216,3216,3494,3497,3497,3513,3519,3538,3544,3546,3548,3548,3559,3573,3593,3603,3610,3610,3610,3624,3644,3665,3688,3696,3696,3696,3730,3761,3825,3869,3869,3869,3869,3934,3994,4040,4081,4110,4110,4110,4178,4231,4283,4346,4438,4439,4439,4541,4643,4713,4789,4821,4821,4821,4856,4953,5012,5070,5122,5125,5125,5203,5254,5325,5393,5423,5423,5423,5451,5514,5573,5645,5740,5740,5740,5789,5883,5918,5951,6011,6011,6011,6061,6110,6148,6201,6244,6245,6245,6285,6377,6410,6489,6547,6547,6547,6547,6580,6620,6682,6780,6780,6780,6835,6957,7038,7109,7174,7174,7174,7252,7423,7522,7590,7664,7666,7666,7852,8974,9093,9267,9381,9383,9383,9501,9660,9823,10145,10346,10348,10348,10586,10857,11127,11299,11511,11513,11513,11737,11967,12208,12402,12666,12669,12669,12998,13337,13337,13535,13828,13829,13829,14569,15091,15643,16060,16514,16528,16528,17009,17525,17526,18285,18635,18635,18635,19187,19675,20039,20481,21005,21012,21012,21635,22253,22980,22985,22985,22993,22993,23553,24081,24606,25187,25597,25616,25616,25960,26462,26716,26805,27217,27222,27222,27430,27718,27928,28073,28314,28317,28317,28412,28669,28892,28924,28924,28924,28924,29064,29325,29588,29726,29742,29742,29742,29947,30255,30507,30761,30934,30938,30938,31091,31320,31452,31572,31672,31674,31674,31674,31794,31941,32200,32271,32275,32275,32361
