MSA,Population
"Abilene, TX","174,006"
"Akron, OH","704,845"
"Albany, GA","151,158"
"Albany-Lebanon, OR","127,335"
"Albany-Schenectady-Troy, NY","883,169"
"Albuquerque, NM","916,791"
"Alexandria, LA","153,044"
"Allentown-Bethlehem-Easton, PA-NJ","842,913"
"Altoona, PA","122,492"
"Amarillo, TX","268,356"
"Ames, IA","98,105"
"Anchorage, AK","399,148"
"Ann Arbor, MI","370,963"
"Anniston-Oxford, AL","114,277"
"Appleton, WI","237,524"
"Asheville, NC","459,585"
"Athens-Clarke County, GA","211,802"
"Atlanta-Sandy Springs-Alpharetta, GA","5,950,828"
"Atlantic City-Hammonton, NJ","265,429"
"Auburn-Opelika, AL","163,941"
"Augusta-Richmond County, GA-SC","605,903"
"Austin-Round Rock-Georgetown, TX","2,168,316"
"Bakersfield, CA","896,764"
"Baltimore-Columbia-Towson, MD","2,802,789"
"Bangor, ME","151,096"
"Barnstable Town, MA","213,413"
"Baton Rouge, LA","831,310"
"Battle Creek, MI","134,487"
"Bay City, MI","103,923"
"Beaumont-Port Arthur, TX","410,233"
"Beckley, WV","117,272"
"Bellingham, WA","225,685"
"Bend, OR","191,996"
"Billings, MT","171,894"
"Binghamton, NY","240,219"
"Birmingham-Hoover, AL","1,151,801"
"Bismarck, ND","132,317"
"Blacksburg-Christiansburg, VA","181,926"
"Bloomington, IL","190,884"
"Bloomington, IN","167,762"
"Bloomsburg-Berwick, PA","83,696"
"Boise City, ID","732,257"
"Boston-Cambridge-Newton, MA-NH","4,875,390"
"Boulder, CO","326,078"
"Bowling Green, KY","177,183"
"Bremerton-Silverdale-Port Orchard, WA","269,805"
"Bridgeport-Stamford-Norwalk, CT","943,823"
"Brownsville-Harlingen, TX","423,908"
"Brunswick, GA","116,864"
"Buffalo-Cheektowaga, NY","1,130,152"
"Burlington, NC","166,436"
"Burlington-South Burlington, VT","220,612"
"California-Lexington Park, MD","112,664"
"Canton-Massillon, OH","398,655"
"Cape Coral-Fort Myers, FL","754,610"
"Cape Girardeau, MO-IL","93,647"
"Carbondale-Marion, IL","124,475"
"Carson City, NV","55,414"
"Casper, WY","79,115"
"Cedar Rapids, IA","272,295"
"Chambersburg-Waynesboro, PA","154,835"
"Champaign-Urbana, IL","237,356"
"Charleston, WV","211,285"
"Charleston-North Charleston, SC","787,643"
"Charlotte-Concord-Gastonia, NC-SC","2,569,213"
"Charlottesville, VA","231,565"
"Chattanooga, TN-GA","558,703"
"Cheyenne, WY","98,976"
"Chicago-Naperville-Elgin, IL-IN-WI","9,497,790"
"Chico, CA","231,256"
"Cincinnati, OH-KY-IN","2,189,442"
"Clarksville, TN-KY","290,745"
"Cleveland, TN","124,748"
"Cleveland-Elyria, OH","2,057,009"
"Coeur d'Alene, ID","161,505"
"College Station-Bryan, TX","265,024"
"Colorado Springs, CO","738,939"
"Columbia, MO","180,005"
"Columbia, SC","833,165"
"Columbus, GA-AL","307,149"
